opt arch MaxEpochs E(test_accuracy) S(test_accuracy) E(train_accuracy) S(train_accuracy) E(val_accuracy) E(loss) nb(experiments) lr embedding K reg dropout
Adam LSTM 20 0.68686 0.06869 0.67198 0.0672 0.69621 0.62113 10 0.001 100 2500 0.001 0.3
Adam LSTM 20 0.68971 0.06897 0.67306 0.06731 0.69873 0.61963 10 0.002 100 2500 0.001 0.3
Adam LSTM 100 0.69629 0.06963 0.68847 0.06885 0.70226 0.60065 10 0.001 100 2500 0.001 0.3
Adam LSTM 100 0.69229 0.13846 0.69189 0.13838 0.69839 0.60098 5 0.003 100 2500 0.001 0.3
Adam LSTM 100 0.70343 0.14069 0.69273 0.13855 0.69418 0.6034 5 0.005 100 2500 0.001 0.3
Adam LSTM 100 0.68686 0.13737 0.69076 0.13815 0.69199 0.60739 5 0.007 100 2500 0.001 0.3
Adam LSTM 100 0.68514 0.13703 0.69084 0.13817 0.68973 0.60933 5 0.009000000000000001 100 2500 0.001 0.3
Adam SimpleRNN 100 0.7 0.14 0.67777 0.13555 0.70541 0.80878 5 0.001 100 2500 0.001 0.3
Adam SimpleRNN 100 0.712 0.1424 0.69577 0.13915 0.69971 0.76756 5 0.003 100 2500 0.001 0.3
Adam SimpleRNN 100 0.71286 0.14257 0.70214 0.14043 0.6972 0.74041 5 0.005 100 2500 0.001 0.3
Adam SimpleRNN 100 0.71743 0.14349 0.70784 0.14157 0.6976 0.71964 5 0.007 100 2500 0.001 0.3
Adam SimpleRNN 100 0.71257 0.14251 0.708 0.1416 0.69581 0.70398 5 0.009000000000000001 100 2500 0.001 0.3
Adam GRU 100 0.60943 0.12189 0.59488 0.11898 0.57549 0.69634 5 0.001 100 2500 0.0001 0.3
Adam GRU 100 0.66657 0.13331 0.64408 0.12882 0.65376 0.65501 5 0.003 100 2500 0.0001 0.3
Adam GRU 100 0.68086 0.13617 0.65742 0.13148 0.67486 0.64214 5 0.005 100 2500 0.0001 0.3
Adam GRU 100 0.68943 0.13789 0.66302 0.1326 0.68054 0.63568 5 0.007 100 2500 0.0001 0.3
Adam GRU 100 0.70086 0.14017 0.6722 0.13444 0.69143 0.62751 5 0.009000000000000001 100 2500 0.0001 0.3
Adam LSTM 100 0.70933 0.04729 0.72433 0.04829 0.70009 0.56198 15 0.005 100 2500 0.0001 0.3
Adam LSTM 100 0.73014 0.07301 0.76124 0.07612 0.72218 0.5076 10 0.001 100 2500 1e-05 0.2
Adam LSTM 100 0.716 0.0716 0.7743 0.07743 0.7138 0.48975 10 0.002 100 2500 1e-05 0.2
Adam LSTM 100 0.71057 0.07106 0.77077 0.07708 0.70662 0.49082 10 0.003 100 2500 1e-05 0.2
Adam LSTM 100 0.70457 0.07046 0.7714 0.07714 0.70546 0.49078 10 0.004 100 2500 1e-05 0.2
Adam LSTM 100 0.71086 0.07109 0.76258 0.07626 0.69549 0.50245 10 0.005 100 2500 1e-05 0.2
